# x_data
-44.03185632,-46.37161132,-45.70497032,-47.59576832,-25.88703132,-39.04526632,-46.10574332,-47.46555332,-41.72876032,-46.17268832,-44.94571332,-43.74884632,-44.51382532,-35.87472432,-44.89903232,-45.56947832,-44.60708032,-43.98729532
-43.72712732,-44.04127632,-45.13290132,-45.69766732,-26.17786132,-40.06705432,-42.02172532,-43.88134632,-43.81549332,-45.84868832,-44.64496032,-46.37865532,-46.78811932,-35.62721032,-43.07215632,-45.47062232,-44.58302832,-46.54193632
-44.82676432,-42.74938232,-44.79046132,-47.68427732,-26.23567332,-40.45424632,-45.85881432,-46.39805832,-46.28488232,-43.72589832,-43.87108932,-45.51596132,-46.13963332,-35.87822332,-45.06940132,-44.29292132,-46.88071432,-45.53410832
-45.76828632,-46.88159932,-41.31874732,-47.57346032,-26.21510532,-39.49110032,-46.32168732,-47.33508332,-45.37185432,-49.96596632,-45.24793432,-46.07559832,-41.92738932,-37.97376832,-43.52505032,-45.94613432,-47.52590132,-45.30767732
-41.58195732,-45.35181032,-45.73803632,-44.81844032,-26.49278132,-40.79555432,-43.41522232,-44.74099032,-44.91997132,-46.36801732,-46.27805032,-44.82430132,-47.63120932,-36.38709032,-47.47952032,-45.57340132,-48.64896232,-44.90600632
-44.00156332,-43.38436632,-44.74697232,-44.85968232,-26.37399532,-39.77186132,-43.82745632,-44.96704832,-43.62906832,-43.18973832,-46.58574432,-48.42641032,-44.21889232,-36.19242632,-46.72172632,-44.91934132,-46.59432932,-47.62905632
-42.21240532,-42.88211532,-46.45149832,-46.58974232,-26.54492332,-39.40966232,-43.55071832,-45.15678232,-43.78569532,-48.01177932,-44.23760932,-46.82264432,-47.01613532,-37.44301832,-47.06232432,-44.22642732,-45.31040032,-44.83724932
-43.87469732,-42.31981532,-45.74734532,-47.17153532,-26.50742832,-39.42246132,-45.18344632,-46.88135232,-43.57704332,-46.38237332,-45.48491432,-47.02271932,-46.09987132,-36.36268632,-42.69531832,-44.84782332,-44.69261532,-44.82781232
-43.52970432,-42.08909032,-45.24922432,-45.49977232,-26.38939032,-38.80369032,-45.16809832,-45.56674232,-48.73255332,-45.10014232,-45.64871232,-46.47714732,-45.42973532,-36.34216132,-44.96087432,-48.86844932,-47.10515432,-45.39646732
-43.86147432,-45.83491832,-45.10249832,-48.54059832,-26.36727832,-39.87330632,-41.59322632,-47.08855532,-48.13676832,-48.25538732,-47.59783932,-45.47120032,-46.17943732,-36.38704632,-45.72832032,-44.10489532,-44.39765432,-44.01184032
-45.07435532,-44.78563232,-45.39656932,-45.63053532,-26.07213032,-37.15162032,-44.04731732,-45.90897432,-43.66415632,-45.62340532,-46.12094232,-44.65098132,-44.39747132,-35.83557032,-45.11299032,-45.58909632,-44.76267332,-43.47147332
-44.84848832,-46.51095732,-45.35799532,-45.56438632,-26.40307532,-40.17714332,-43.28285532,-47.67862132,-44.65258732,-45.89047232,-43.90071832,-42.68279132,-45.76648532,-36.48415432,-42.71373732,-44.51898532,-44.87439632,-46.39337432
-42.10010732,-43.85170232,-46.76134432,-44.16610232,-26.12618032,-39.78404332,-47.41003432,-46.90220732,-42.05947332,-46.82398732,-44.47522432,-44.67179532,-46.78865332,-37.42946132,-43.60414732,-43.40924332,-46.77276132,-44.95588532
-43.65792532,-44.25813932,-45.33572032,-45.99027032,-26.30219932,-39.53323832,-47.90794832,-44.44889832,-48.29446832,-45.97003732,-44.25657632,-46.64198532,-43.39888032,-36.83363332,-47.96209132,-45.69207132,-45.16111432,-46.39599232
-43.50043032,-44.75365732,-45.24341932,-48.25709932,-25.97936432,-40.84178232,-44.91214432,-46.34532832,-46.39751632,-45.87997032,-46.51766432,-46.10705932,-44.13002432,-37.73949732,-43.08343832,-45.74189132,-47.21489632,-47.53008232
